CABra ID  	 33
ANA ID    	 16700000
Longitude 	 -55.958   	 dd
Latitude  	 2.226     	 dd
Area      	 818.09    	 km²
Elevation 	 434.17    	 m
 
p_ens, tmin_ens, tmax_ens, rh_ens, wnd_ens and srad_ens product are derived from the ENSEMBLE dataset
et_ens product is derived from the GLEAM dataset
pet_hg was estimated by Penman-Monteith method
pet_pm was estimated by Priestley & Taylor method
pet_hg was estimated by Hargreaves method
 
 Year	 Month	   Day	    p_ens	   tmin_ens	   tmax_ens	     rh_ens	    wnd_ens	   srad_ens	   et_ens	   pet_pm	   pet_pt	   pet_hg
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    2.012	     21.460	     28.137	     78.622	      2.007	     17.030	    3.469	    4.316	    5.162	    3.997
 1980	     1	     2	    1.673	     21.610	     27.629	     78.677	      1.720	     14.842	    4.331	    3.790	    4.550	    3.468
 1980	     1	     3	    4.654	     21.458	     27.169	     80.476	      1.718	     13.790	    4.389	    3.541	    4.249	    3.199
 1980	     1	     4	    1.317	     20.797	     26.567	     82.321	      2.021	     12.476	    1.857	    3.300	    3.866	    2.851
 1980	     1	     5	    0.445	     20.822	     27.009	     78.466	      2.267	     15.536	    2.342	    3.937	    4.704	    3.570
 1980	     1	     6	    0.637	     20.829	     27.114	     76.689	      2.092	     16.178	    2.697	    4.056	    4.881	    3.721
 1980	     1	     7	    4.409	     21.141	     28.449	     75.706	      2.178	     17.036	    4.830	    4.416	    5.163	    3.996
 1980	     1	     8	    1.150	     20.586	     27.510	     78.463	      1.993	     13.178	    2.795	    3.585	    4.070	    3.037
 1980	     1	     9	    2.405	     21.181	     27.611	     77.714	      1.883	     12.936	    3.193	    3.485	    4.019	    3.007
 1980	     1	    10	    0.178	     20.517	     28.973	     72.259	      1.924	     17.619	    2.591	    4.629	    5.321	    4.129
 1980	     1	    11	    0.000	     20.169	     28.371	     71.080	      1.961	     16.830	    2.346	    4.422	    5.076	    3.899
 1980	     1	    12	    0.102	     20.742	     27.077	     69.267	      1.696	     13.619	    1.924	    3.552	    4.186	    3.129
 1980	     1	    13	    0.803	     21.151	     27.743	     72.260	      1.769	     14.490	    1.978	    3.783	    4.448	    3.372
 1980	     1	    14	    0.337	     20.237	     28.944	     73.246	      2.135	     19.558	    2.701	    5.045	    5.846	    4.567
 1980	     1	    15	    0.251	     20.684	     27.931	     74.870	      1.924	     14.737	    1.849	    3.917	    4.508	    3.417
 1980	     1	    16	    0.212	     20.119	     29.907	     71.580	      1.805	     18.838	    2.509	    5.014	    5.676	    4.442
 1980	     1	    17	    0.062	     20.509	     28.796	     72.660	      1.685	     15.385	    1.920	    4.136	    4.703	    3.597
 1980	     1	    18	    1.737	     20.889	     29.852	     74.599	      1.329	     18.094	    3.739	    4.701	    5.494	    4.303
 1980	     1	    19	    4.448	     21.302	     29.579	     78.071	      1.078	     17.109	    4.390	    4.395	    5.224	    4.075
 1980	     1	    20	   16.152	     21.245	     27.625	     86.635	      0.752	     15.596	    3.718	    3.861	    4.754	    3.629
 1980	     1	    21	    6.030	     21.081	     28.741	     83.191	      1.070	     14.513	    5.130	    3.797	    4.477	    3.414
 1980	     1	    22	    8.593	     21.160	     29.286	     78.726	      2.043	     15.822	    7.597	    4.311	    4.855	    3.750
 1980	     1	    23	    5.420	     21.784	     28.590	     76.832	      2.359	     17.585	    6.295	    4.501	    5.346	    4.164
 1980	     1	    24	    2.209	     21.671	     28.700	     77.921	      2.462	     15.997	    4.225	    4.255	    4.904	    3.787
 1980	     1	    25	    1.860	     21.665	     28.868	     77.252	      2.242	     16.508	    4.027	    4.352	    5.051	    3.916
 1980	     1	    26	    3.551	     21.111	     28.591	     80.072	      2.074	     18.849	    5.310	    4.773	    5.676	    4.429
 1980	     1	    27	    2.043	     21.122	     28.175	     77.806	      2.252	     14.443	    3.693	    3.911	    4.449	    3.377
 1980	     1	    28	    1.092	     21.433	     28.393	     74.260	      2.371	     16.930	    3.259	    4.385	    5.150	    3.983
 1980	     1	    29	    0.697	     21.555	     27.250	     76.715	      2.261	     14.154	    2.099	    3.659	    4.360	    3.290
 1980	     1	    30	    0.140	     19.816	     27.766	     74.408	      2.198	     16.910	    2.264	    4.411	    5.079	    3.875
 1980	     1	    31	    0.259	     21.996	     28.197	     74.636	      2.182	     17.033	    3.160	    4.298	    5.192	    4.025
 1980	     2	     1	    2.676	     21.691	     28.785	     74.349	      2.089	     17.188	    5.683	    4.446	    5.242	    4.075
 1980	     2	     2	    1.709	     21.288	     28.069	     80.116	      2.003	     15.141	    5.030	    3.976	    4.646	    3.543
 1980	     2	     3	    1.194	     21.880	     29.325	     72.627	      2.149	     17.812	    3.974	    4.645	    5.438	    4.258
 1980	     2	     4	    1.795	     21.464	     29.294	     71.878	      2.155	     18.884	    3.455	    4.881	    5.725	    4.492
 1980	     2	     5	    0.063	     21.090	     30.540	     66.633	      2.239	     20.807	    2.991	    5.518	    6.294	    4.999
 1980	     2	     6	    0.317	     20.937	     28.374	     69.976	      2.125	     16.295	    2.136	    4.288	    4.964	    3.811
 1980	     2	     7	    0.007	     20.048	     29.365	     69.958	      2.284	     17.521	    2.186	    4.799	    5.303	    4.102
 1980	     2	     8	    0.000	     19.786	     31.124	     61.130	      2.229	     25.049	    3.248	    6.540	    7.456	    5.968
 1980	     2	     9	    0.000	     19.641	     31.156	     59.737	      1.893	     23.445	    2.977	    6.168	    7.002	    5.579
 1980	     2	    10	    1.332	     21.682	     27.181	     71.322	      2.230	     11.434	    1.366	    3.141	    3.619	    2.659
 1980	     2	    11	    5.510	     21.906	     27.899	     73.371	      1.682	     12.147	    2.057	    3.292	    3.831	    2.857
 1980	     2	    12	    1.105	     21.102	     28.594	     75.750	      2.236	     18.377	    3.957	    4.710	    5.553	    4.316
 1980	     2	    13	    1.512	     21.312	     28.831	     71.671	      2.310	     17.871	    2.588	    4.648	    5.427	    4.220
 1980	     2	    14	    1.097	     20.301	     28.806	     69.814	      2.071	     17.313	    2.451	    4.601	    5.241	    4.039
 1980	     2	    15	    0.009	     20.679	     28.592	     69.270	      2.359	     16.410	    1.999	    4.409	    4.997	    3.835
 1980	     2	    16	    0.011	     20.717	     30.387	     65.207	      2.297	     19.837	    2.588	    5.358	    6.007	    4.737
 1980	     2	    17	    0.499	     22.147	     28.580	     68.705	      2.452	     14.740	    1.967	    3.954	    4.573	    3.504
 1980	     2	    18	    0.294	     21.335	     29.914	     64.419	      2.460	     20.940	    2.638	    5.439	    6.324	    5.009
 1980	     2	    19	    0.273	     20.192	     28.638	     69.170	      2.436	     16.761	    1.862	    4.546	    5.082	    3.897
 1980	     2	    20	    0.338	     20.455	     28.054	     70.346	      2.281	     14.357	    1.570	    3.955	    4.415	    3.326
 1980	     2	    21	    0.001	     20.260	     30.511	     64.823	      2.244	     19.489	    2.327	    5.349	    5.899	    4.635
 1980	     2	    22	    0.244	     20.495	     30.136	     62.925	      2.182	     19.454	    2.282	    5.237	    5.885	    4.619
 1980	     2	    23	    0.033	     20.134	     30.788	     60.015	      2.171	     25.297	    3.026	    6.486	    7.535	    6.028
 1980	     2	    24	    0.000	     20.109	     30.923	     57.693	      2.214	     24.561	    2.854	    6.385	    7.334	    5.860
 1980	     2	    25	    0.001	     19.427	     31.279	     57.468	      2.344	     22.968	    2.541	    6.251	    6.872	    5.459
 1980	     2	    26	    0.028	     20.310	     28.296	     63.739	      2.417	     14.802	    1.548	    4.118	    4.541	    3.433
 1980	     2	    27	    0.000	     20.401	     30.986	     57.196	      2.255	     25.467	    2.900	    6.553	    7.607	    6.100
 1980	     2	    28	    0.058	     20.530	     30.299	     56.981	      2.586	     19.906	    2.128	    5.437	    6.021	    4.739
 1980	     2	    29	    0.028	     19.899	     28.569	     65.800	      2.529	     16.662	    1.649	    4.566	    5.048	    3.858
 1980	     3	     1	    0.000	     19.912	     30.739	     58.847	      2.431	     20.889	    2.289	    5.736	    6.290	    4.963
 1980	     3	     2	    0.184	     19.744	     28.201	     67.217	      2.151	     18.268	    1.791	    4.740	    5.473	    4.204
 1980	     3	     3	    0.669	     21.103	     29.399	     69.015	      2.252	     16.144	    1.734	    4.445	    4.961	    3.828
 1980	     3	     4	    0.126	     20.697	     28.037	     70.756	      2.367	     15.985	    1.680	    4.237	    4.873	    3.713
 1980	     3	     5	    0.006	     19.825	     31.029	     58.606	      2.281	     22.364	    2.188	    6.037	    6.712	    5.325
 1980	     3	     6	    0.000	     20.155	     31.790	     55.869	      2.276	     23.604	    2.352	    6.390	    7.107	    5.691
 1980	     3	     7	    0.001	     21.314	     31.451	     56.873	      2.636	     22.355	    2.276	    6.059	    6.788	    5.442
 1980	     3	     8	    2.322	     21.288	     30.027	     65.679	      2.002	     18.907	    1.983	    5.009	    5.760	    4.526
 1980	     3	     9	    2.375	     21.060	     29.067	     75.555	      1.923	     18.605	    9.539	    4.803	    5.639	    4.393
 1980	     3	    10	    4.815	     20.878	     30.744	     72.020	      2.114	     18.636	    3.347	    5.143	    5.692	    4.477
 1980	     3	    11	    1.849	     21.617	     29.557	     72.186	      2.205	     16.911	    5.055	    4.556	    5.195	    4.040
 1980	     3	    12	    3.400	     20.880	     29.765	     69.092	      2.182	     19.376	    4.202	    5.124	    5.870	    4.603
 1980	     3	    13	    9.777	     20.999	     28.767	     79.370	      2.180	     15.656	    8.164	    4.245	    4.809	    3.681
 1980	     3	    14	    5.544	     21.027	     27.278	     82.461	      2.299	     12.913	    5.253	    3.507	    4.022	    2.983
 1980	     3	    15	    1.581	     21.105	     26.613	     78.581	      2.453	     13.400	    3.888	    3.487	    4.144	    3.075
 1980	     3	    16	    1.317	     21.566	     28.519	     72.212	      2.364	     16.516	    4.559	    4.327	    5.057	    3.897
 1980	     3	    17	    9.482	     20.861	     24.047	     93.878	      1.937	      6.150	    4.276	    1.815	    2.159	    1.364
 1980	     3	    18	    4.096	     20.866	     25.674	     85.249	      2.028	      9.252	    3.995	    2.591	    3.001	    2.093
 1980	     3	    19	    3.170	     20.726	     26.407	     79.626	      1.708	      8.995	    1.956	    2.618	    2.937	    2.049
 1980	     3	    20	    0.833	     20.271	     27.915	     78.028	      2.149	     14.923	    3.671	    4.034	    4.568	    3.443
 1980	     3	    21	    1.349	     21.636	     26.309	     78.179	      1.775	     10.487	    5.439	    2.814	    3.355	    2.413
 1980	     3	    22	    7.495	     20.921	     30.110	     73.122	      1.534	     19.095	    4.761	    4.992	    5.804	    4.556
 1980	     3	    23	    9.123	     21.176	     27.627	     85.340	      1.383	     14.699	    5.955	    3.773	    4.523	    3.417
 1980	     3	    24	   14.412	     21.341	     30.187	     77.976	      1.733	     19.244	    6.038	    5.046	    5.862	    4.618
 1980	     3	    25	    9.538	     21.615	     28.197	     83.757	      1.825	     16.861	    5.970	    4.280	    5.146	    3.966
 1980	     3	    26	    7.838	     21.535	     28.273	     84.427	      1.744	     13.082	    4.371	    3.565	    4.096	    3.077
 1980	     3	    27	    7.332	     21.476	     28.854	     82.369	      1.899	     16.824	    6.894	    4.392	    5.149	    3.981
 1980	     3	    28	   12.230	     21.822	     28.979	     81.130	      1.760	     16.804	    5.191	    4.360	    5.156	    3.998
 1980	     3	    29	    9.222	     21.797	     29.368	     79.965	      1.959	     16.132	    4.388	    4.321	    4.977	    3.855
 1980	     3	    30	   10.537	     21.761	     28.441	     81.232	      1.796	     15.788	    3.542	    4.095	    4.857	    3.731
 1980	     3	    31	    5.587	     21.431	     26.432	     87.047	      1.910	     12.728	    7.622	    3.270	    3.964	    2.926
 1980	     4	     1	    2.864	     21.451	     27.972	     77.434	      2.022	     15.158	    4.429	    3.958	    4.663	    3.550
 1980	     4	     2	    1.211	     21.352	     26.931	     79.342	      2.291	     12.752	    3.282	    3.384	    3.977	    2.946
 1980	     4	     3	    0.610	     20.709	     26.774	     78.028	      1.983	     10.920	    1.782	    3.060	    3.463	    2.499
 1980	     4	     4	    4.555	     20.957	     28.541	     78.846	      1.699	     17.667	    3.046	    4.518	    5.358	    4.141
 1980	     4	     5	    3.663	     21.365	     25.569	     88.502	      2.034	     11.232	    3.287	    2.883	    3.541	    2.553
 1980	     4	     6	    1.220	     21.559	     26.847	     79.561	      1.824	     11.808	    4.647	    3.137	    3.721	    2.732
 1980	     4	     7	    0.614	     20.459	     26.710	     80.439	      2.179	     11.534	    1.964	    3.212	    3.623	    2.629
 1980	     4	     8	    0.544	     21.739	     26.704	     75.104	      2.275	     12.379	    2.000	    3.235	    3.878	    2.865
 1980	     4	     9	    1.230	     21.304	     28.302	     76.809	      1.937	     15.240	    3.404	    4.027	    4.688	    3.577
 1980	     4	    10	    3.960	     21.209	     29.869	     76.235	      1.953	     16.560	    3.155	    4.531	    5.090	    3.953
 1980	     4	    11	    3.392	     21.460	     29.585	     78.708	      1.282	     18.718	    3.464	    4.766	    5.696	    4.467
 1980	     4	    12	    6.127	     21.771	     29.914	     77.623	      1.338	     17.083	    9.845	    4.470	    5.254	    4.106
 1980	     4	    13	   19.049	     20.867	     27.302	     84.334	      0.919	     12.745	    7.432	    3.304	    3.970	    2.940
 1980	     4	    14	    4.170	     20.995	     26.392	     86.902	      1.525	      9.737	    3.086	    2.706	    3.139	    2.225
 1980	     4	    15	    1.196	     21.059	     28.297	     78.891	      1.793	     15.183	    4.416	    4.013	    4.664	    3.553
 1980	     4	    16	    3.259	     21.781	     29.727	     75.861	      1.988	     19.153	    5.713	    4.959	    5.831	    4.595
 1980	     4	    17	    0.756	     21.533	     30.215	     75.053	      1.775	     19.383	    3.960	    5.067	    5.903	    4.663
 1980	     4	    18	    4.096	     21.493	     30.421	     75.443	      1.915	     19.280	    4.769	    5.109	    5.878	    4.647
 1980	     4	    19	    6.405	     21.563	     29.940	     79.819	      1.704	     17.337	    3.110	    4.610	    5.318	    4.159
 1980	     4	    20	    3.810	     21.694	     28.648	     82.472	      1.472	     16.845	    4.994	    4.290	    5.149	    3.987
 1980	     4	    21	    7.988	     21.518	     29.491	     80.705	      1.315	     17.297	    4.902	    4.470	    5.293	    4.126
 1980	     4	    22	    7.414	     21.269	     30.501	     78.021	      1.005	     14.750	    5.275	    3.993	    4.592	    3.549
 1980	     4	    23	   17.070	     21.343	     28.241	     87.393	      0.919	     14.693	    5.570	    3.756	    4.531	    3.447
 1980	     4	    24	   12.314	     21.271	     28.572	     85.145	      1.247	     12.953	    3.630	    3.501	    4.054	    3.048
 1980	     4	    25	   13.692	     21.258	     27.938	     85.532	      0.969	     14.390	    5.552	    3.679	    4.438	    3.361
 1980	     4	    26	    7.580	     20.948	     28.338	     84.605	      1.191	     15.515	    5.457	    3.991	    4.749	    3.627
 1980	     4	    27	   14.926	     21.249	     27.811	     87.373	      0.911	     14.863	    7.484	    3.754	    4.565	    3.465
 1980	     4	    28	   18.571	     21.235	     28.026	     86.313	      0.690	     14.004	    4.510	    3.562	    4.332	    3.273
 1980	     4	    29	   19.572	     21.386	     28.087	     83.224	      1.261	     13.954	    3.130	    3.642	    4.322	    3.269
 1980	     4	    30	    6.627	     21.519	     29.464	     80.433	      1.457	     17.317	    4.809	    4.494	    5.293	    4.129
 1980	     5	     1	    7.166	     21.364	     29.259	     78.194	      1.455	     18.153	    5.961	    4.641	    5.516	    4.311
 1980	     5	     2	   15.587	     21.728	     29.240	     78.713	      1.427	     17.679	    5.324	    4.518	    5.394	    4.215
 1980	     5	     3	    9.046	     21.319	     28.677	     82.888	      0.915	     16.991	    5.993	    4.259	    5.174	    4.005
 1980	     5	     4	    5.052	     21.122	     29.103	     83.050	      0.861	     15.416	    6.053	    3.970	    4.741	    3.644
 1980	     5	     5	    5.064	     21.162	     29.633	     82.013	      0.843	     19.352	    4.879	    4.823	    5.854	    4.605
 1980	     5	     6	    4.710	     21.677	     30.052	     78.830	      1.493	     19.849	    3.744	    5.068	    6.024	    4.774
 1980	     5	     7	    5.928	     21.445	     29.127	     80.276	      1.500	     18.037	    5.336	    4.600	    5.479	    4.281
 1980	     5	     8	    8.631	     21.569	     29.503	     79.981	      1.198	     16.729	    5.566	    4.327	    5.127	    3.993
 1980	     5	     9	   16.219	     21.301	     27.509	     88.423	      0.993	     14.934	    4.434	    3.746	    4.573	    3.472
 1980	     5	    10	    8.676	     21.570	     28.342	     85.509	      1.378	     14.402	    3.032	    3.762	    4.451	    3.391
 1980	     5	    11	    4.080	     21.933	     29.714	     77.975	      1.543	     18.335	    6.607	    4.712	    5.594	    4.405
 1980	     5	    12	    2.500	     21.918	     29.279	     79.390	      1.730	     17.524	    4.470	    4.520	    5.352	    4.189
 1980	     5	    13	    7.497	     21.900	     27.920	     82.620	      1.702	     15.994	    4.309	    4.030	    4.890	    3.763
 1980	     5	    14	   14.432	     21.687	     25.746	     90.705	      1.212	     10.894	    7.055	    2.781	    3.446	    2.491
 1980	     5	    15	    8.925	     21.111	     27.048	     85.505	      1.084	     13.099	    6.138	    3.356	    4.055	    3.022
 1980	     5	    16	    9.756	     21.513	     28.467	     81.687	      0.734	     14.146	    5.766	    3.616	    4.379	    3.334
 1980	     5	    17	   10.171	     21.003	     28.215	     85.328	      0.734	     14.357	    4.637	    3.657	    4.420	    3.354
 1980	     5	    18	    2.473	     21.044	     28.461	     82.252	      0.971	     15.199	    3.430	    3.890	    4.658	    3.562
 1980	     5	    19	   12.437	     21.501	     26.809	     88.577	      1.140	     14.764	    4.660	    3.645	    4.511	    3.412
 1980	     5	    20	    4.222	     20.861	     27.816	     86.465	      1.300	     16.799	    3.883	    4.197	    5.075	    3.899
 1980	     5	    21	    1.115	     21.847	     29.344	     78.820	      1.965	     18.439	    3.394	    4.740	    5.604	    4.408
 1980	     5	    22	    1.977	     21.392	     29.633	     79.473	      1.360	     19.531	    5.540	    4.937	    5.903	    4.659
 1980	     5	    23	    9.748	     21.887	     29.067	     80.154	      0.726	     15.440	    6.727	    3.916	    4.759	    3.680
 1980	     5	    24	   12.593	     21.440	     26.751	     87.227	      0.852	     11.814	    4.925	    3.033	    3.703	    2.726
 1980	     5	    25	   10.751	     20.274	     28.650	     83.500	      0.847	     16.305	    9.248	    4.128	    4.943	    3.795
 1980	     5	    26	    1.603	     20.546	     28.729	     79.265	      1.759	     19.290	    3.476	    4.876	    5.774	    4.509
 1980	     5	    27	    0.045	     20.401	     30.527	     72.895	      1.391	     22.790	    4.008	    5.757	    6.807	    5.431
 1980	     5	    28	    2.594	     21.573	     27.094	     83.280	      0.965	     12.442	    3.561	    3.192	    3.882	    2.888
 1980	     5	    29	    3.740	     20.575	     29.045	     80.576	      1.120	     19.387	    3.824	    4.831	    5.811	    4.550
 1980	     5	    30	    5.320	     21.508	     28.124	     82.474	      1.000	     14.238	    4.087	    3.647	    4.392	    3.342
 1980	     5	    31	    8.649	     21.141	     28.392	     81.567	      0.996	     16.716	    4.397	    4.186	    5.072	    3.919
 1980	     6	     1	   11.470	     20.431	     28.461	     84.528	      0.814	     16.780	    7.006	    4.196	    5.070	    3.905
 1980	     6	     2	    5.192	     20.918	     27.909	     86.077	      1.083	     14.325	    4.603	    3.685	    4.397	    3.331
 1980	     6	     3	   16.615	     20.603	     27.250	     89.277	      0.518	     14.235	    6.450	    3.535	    4.350	    3.272
 1980	     6	     4	   15.670	     20.518	     26.969	     90.382	      0.573	     13.694	    3.122	    3.417	    4.195	    3.134
 1980	     6	     5	    7.148	     20.732	     28.690	     83.438	      0.951	     16.924	    4.796	    4.262	    5.124	    3.963
 1980	     6	     6	    6.507	     21.015	     28.529	     84.896	      1.535	     17.432	    3.308	    4.426	    5.268	    4.088
 1980	     6	     7	    7.774	     20.815	     26.697	     89.548	      1.448	     15.133	    4.569	    3.756	    4.584	    3.464
 1980	     6	     8	    8.940	     21.013	     27.033	     87.695	      0.964	     15.339	    5.124	    3.783	    4.654	    3.534
 1980	     6	     9	    9.826	     21.187	     25.779	     93.652	      0.952	     12.911	    4.308	    3.188	    3.974	    2.937
 1980	     6	    10	   12.796	     20.834	     26.327	     91.810	      1.349	     12.951	    3.966	    3.290	    3.987	    2.952
 1980	     6	    11	    2.459	     21.121	     28.276	     83.107	      1.694	     15.989	    4.679	    4.129	    4.865	    3.743
 1980	     6	    12	    0.049	     19.519	     29.706	     75.737	      1.363	     22.435	    3.940	    5.601	    6.629	    5.241
 1980	     6	    13	    2.455	     20.516	     28.782	     78.869	      1.187	     18.535	    3.996	    4.643	    5.561	    4.334
 1980	     6	    14	    1.250	     20.819	     28.788	     81.570	      1.223	     19.126	    6.030	    4.753	    5.734	    4.488
 1980	     6	    15	    2.124	     20.913	     29.273	     77.983	      1.546	     20.129	    4.996	    5.057	    6.032	    4.756
 1980	     6	    16	    1.919	     21.082	     28.899	     79.377	      1.187	     18.198	    4.490	    4.565	    5.490	    4.289
 1980	     6	    17	    5.064	     21.328	     28.023	     85.606	      0.396	     15.884	    3.033	    3.895	    4.835	    3.716
 1980	     6	    18	    8.201	     20.578	     28.645	     84.835	      0.903	     17.006	    3.675	    4.269	    5.138	    3.973
 1980	     6	    19	    7.952	     20.677	     28.326	     84.525	      1.113	     17.094	    4.690	    4.288	    5.156	    3.983
 1980	     6	    20	    5.999	     20.999	     27.954	     84.374	      1.075	     16.781	    4.859	    4.169	    5.069	    3.908
 1980	     6	    21	    3.994	     20.460	     29.229	     80.253	      0.769	     18.917	    4.856	    4.684	    5.678	    4.443
 1980	     6	    22	    3.585	     20.124	     29.045	     79.373	      0.954	     20.335	    4.891	    5.001	    6.050	    4.747
 1980	     6	    23	    3.168	     21.307	     27.694	     84.718	      0.899	     17.132	    4.480	    4.183	    5.168	    3.992
 1980	     6	    24	    0.206	     20.494	     28.437	     80.352	      1.408	     16.144	    2.925	    4.174	    4.893	    3.758
 1980	     6	    25	    1.599	     21.136	     29.167	     77.519	      1.708	     18.400	    4.741	    4.718	    5.556	    4.353
 1980	     6	    26	    0.125	     21.211	     29.512	     71.614	      1.825	     22.464	    3.950	    5.561	    6.701	    5.340
 1980	     6	    27	    0.108	     20.170	     29.233	     72.910	      1.427	     19.832	    3.434	    5.014	    5.920	    4.643
 1980	     6	    28	    0.241	     20.308	     29.657	     75.159	      1.365	     20.374	    3.522	    5.155	    6.090	    4.801
 1980	     6	    29	    1.052	     19.936	     29.143	     77.801	      1.090	     19.760	    3.533	    4.930	    5.889	    4.608
 1980	     6	    30	    6.874	     20.783	     28.610	     80.447	      0.726	     18.072	    3.318	    4.446	    5.437	    4.230
 1980	     7	     1	   11.344	     20.076	     28.627	     82.503	      0.546	     18.487	    5.075	    4.509	    5.528	    4.292
 1980	     7	     2	   12.618	     20.091	     27.510	     86.098	      0.463	     16.718	    4.950	    4.055	    5.012	    3.831
 1980	     7	     3	   10.170	     19.634	     26.930	     90.365	      0.700	     17.142	    4.873	    4.141	    5.095	    3.879
 1980	     7	     4	    2.504	     20.291	     27.815	     85.599	      0.778	     17.534	    4.508	    4.290	    5.250	    4.042
 1980	     7	     5	    5.206	     20.880	     27.821	     83.935	      0.757	     15.841	    2.883	    3.930	    4.807	    3.678
 1980	     7	     6	    3.496	     20.383	     27.666	     83.828	      0.380	     16.271	    4.297	    3.958	    4.906	    3.748
 1980	     7	     7	    3.820	     19.890	     28.179	     83.257	      0.666	     17.981	    3.703	    4.397	    5.370	    4.143
 1980	     7	     8	   14.721	     20.405	     25.631	     91.760	      0.789	     11.257	    3.291	    2.870	    3.512	    2.531
 1980	     7	     9	    4.802	     20.022	     28.072	     83.253	      0.910	     17.988	    4.882	    4.432	    5.373	    4.146
 1980	     7	    10	   11.350	     20.397	     26.208	     89.515	      0.432	     14.410	    4.510	    3.505	    4.367	    3.262
 1980	     7	    11	   14.878	     19.986	     26.551	     88.504	      0.490	     16.258	    4.620	    3.909	    4.860	    3.678
 1980	     7	    12	   23.428	     20.323	     26.392	     89.302	      0.796	     14.310	    4.029	    3.533	    4.343	    3.244
 1980	     7	    13	   12.180	     20.544	     26.960	     86.407	      1.044	     17.398	    4.526	    4.208	    5.197	    3.982
 1980	     7	    14	    0.834	     20.119	     28.354	     80.780	      1.107	     19.510	    3.608	    4.793	    5.803	    4.517
 1980	     7	    15	    5.866	     20.508	     28.809	     81.648	      0.807	     19.221	    4.324	    4.720	    5.754	    4.495
 1980	     7	    16	    3.179	     19.963	     28.032	     83.166	      1.017	     18.814	    4.580	    4.613	    5.597	    4.331
 1980	     7	    17	    0.839	     20.656	     29.365	     74.025	      1.401	     21.544	    5.062	    5.341	    6.423	    5.080
 1980	     7	    18	    0.284	     20.819	     29.206	     74.690	      1.368	     19.606	    4.494	    4.926	    5.887	    4.623
 1980	     7	    19	    2.480	     20.056	     28.642	     80.881	      0.788	     19.567	    4.545	    4.782	    5.829	    4.543
 1980	     7	    20	    4.168	     20.597	     27.669	     84.442	      0.796	     17.740	    5.043	    4.317	    5.317	    4.098
 1980	     7	    21	    1.638	     20.531	     28.140	     83.685	      0.750	     18.166	    4.418	    4.440	    5.446	    4.216
 1980	     7	    22	    2.134	     20.160	     29.301	     80.902	      0.588	     18.928	    4.205	    4.661	    5.680	    4.434
 1980	     7	    23	   18.080	     20.101	     28.254	     86.358	      0.678	     17.807	    4.430	    4.372	    5.338	    4.117
 1980	     7	    24	   11.885	     20.219	     28.389	     81.617	      1.015	     17.349	    4.375	    4.352	    5.221	    4.023
 1980	     7	    25	    0.830	     19.346	     27.863	     86.612	      1.094	     17.316	    3.969	    4.339	    5.168	    3.949
 1980	     7	    26	    0.878	     19.934	     28.599	     81.834	      1.121	     20.920	    4.118	    5.110	    6.196	    4.847
 1980	     7	    27	    0.416	     20.098	     28.932	     79.025	      1.417	     20.406	    3.702	    5.094	    6.075	    4.756
 1980	     7	    28	    0.356	     19.771	     29.062	     75.321	      1.523	     21.348	    3.558	    5.330	    6.326	    4.964
 1980	     7	    29	    0.313	     19.137	     29.166	     76.382	      1.193	     21.432	    5.190	    5.323	    6.327	    4.952
 1980	     7	    30	    2.198	     20.445	     29.518	     79.271	      1.024	     20.184	    5.207	    5.033	    6.049	    4.756
 1980	     7	    31	    0.808	     20.952	     28.930	     77.729	      1.610	     19.562	    6.331	    4.914	    5.876	    4.605
 1980	     8	     1	    0.164	     20.211	     29.942	     75.250	      1.321	     22.043	    3.854	    5.528	    6.574	    5.206
 1980	     8	     2	   10.377	     20.474	     28.286	     80.739	      0.112	     19.698	    3.502	    4.680	    5.874	    4.576
 1980	     8	     3	   18.461	     19.837	     27.303	     86.262	      0.548	     16.335	    6.970	    3.988	    4.907	    3.722
 1980	     8	     4	    1.067	     19.954	     28.920	     79.149	      1.151	     19.051	    4.702	    4.787	    5.701	    4.432
 1980	     8	     5	    0.962	     20.614	     28.049	     79.554	      1.540	     19.097	    3.388	    4.715	    5.708	    4.432
 1980	     8	     6	    1.180	     20.209	     29.413	     79.004	      1.092	     20.703	    3.834	    5.152	    6.184	    4.859
 1980	     8	     7	    2.829	     21.443	     28.641	     82.296	      1.134	     17.799	    4.675	    4.444	    5.398	    4.200
 1980	     8	     8	    1.493	     21.012	     29.393	     81.269	      0.792	     18.564	    4.615	    4.630	    5.620	    4.397
 1980	     8	     9	    1.005	     20.184	     29.756	     79.040	      1.214	     21.619	    3.909	    5.403	    6.452	    5.093
 1980	     8	    10	    2.931	     21.307	     29.415	     76.247	      1.721	     19.573	    4.685	    4.983	    5.913	    4.653
 1980	     8	    11	    3.617	     20.962	     27.674	     84.819	      0.747	     16.442	    4.084	    4.049	    4.984	    3.815
 1980	     8	    12	    2.097	     20.604	     28.728	     80.607	      0.674	     17.898	    4.585	    4.424	    5.403	    4.186
 1980	     8	    13	    1.104	     19.953	     29.696	     78.498	      0.803	     20.021	    4.757	    4.984	    6.000	    4.701
 1980	     8	    14	    7.870	     20.693	     28.439	     83.230	      0.375	     18.221	    5.218	    4.420	    5.487	    4.252
